Match Title,Match ID,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard Link
Manipur Vs Bihar Plate Group,1333229,Manipur,Bihar,drawn,-,Ahmedabad,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/manipur-vs-bihar-plate-group-1333229/full-scorecard
Mumbai Vs Hyderabad India Elite Group B,1333218,Mumbai,Hyderabad,Mumbai,inns & 217 runs,Mumbai,"Dec 20-22, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/mumbai-vs-hyderabad-india-elite-group-b-1333218/full-scorecard
Railways Vs Punjab Elite Group D,1333224,Railways,Punjab,drawn,-,Delhi,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/railways-vs-punjab-elite-group-d-1333224/full-scorecard
Rajasthan Vs Kerala Elite Group C,1333223,Rajasthan,Kerala,drawn,-,Jaipur,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/rajasthan-vs-kerala-elite-group-c-1333223/full-scorecard
Saurashtra Vs Maharashtra Elite Group B,1333219,Saurashtra,Maharashtra,drawn,-,Rajkot,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/saurashtra-vs-maharashtra-elite-group-b-1333219/full-scorecard
Services Vs Chhattisgarh Elite Group C,1333220,Services,Chhattisgarh,Chhattisgarh,10 wickets,Delhi,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/services-vs-chhattisgarh-elite-group-c-1333220/full-scorecard
Tamil Nadu Vs Andhra Elite Group B,1333216,Tamil Nadu,Andhra,Andhra,8 runs,Coimbatore,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/tamil-nadu-vs-andhra-elite-group-b-1333216/full-scorecard
Vidarbha Vs Tripura Elite Group D,1333227,Vidarbha,Tripura,Vidarbha,220 runs,Nagpur,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/vidarbha-vs-tripura-elite-group-d-1333227/full-scorecard
Bengal Vs Himachal Pradesh Elite Group A,1333213,Bengal,Himachal,drawn,-,Eden Gardens,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bengal-vs-himachal-pradesh-elite-group-a-1333213/full-scorecard
Jharkhand Vs Goa Elite Group C,1333221,Jharkhand,Goa,drawn,-,Jamshedpur,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/jharkhand-vs-goa-elite-group-c-1333221/full-scorecard
Meghalaya Vs Sikkim Plate Group,1333230,Meghalaya,Sikkim,Meghalaya,10 wickets,Shillong,"Dec 20-21, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/meghalaya-vs-sikkim-plate-group-1333230/full-scorecard
Uttarakhand Vs Odisha Elite Group A,1333214,Uttarakhand,Odisha,Uttarakhand,inns & 99 runs,Dehradun,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/uttarakhand-vs-odisha-elite-group-a-1333214/full-scorecard
Nagaland Vs Uttar Pradesh Elite Group A,1333215,Nagaland,UP,UP,inns & 230 runs,Sovima,"Dec 20-22, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/nagaland-vs-uttar-pradesh-elite-group-a-1333215/full-scorecard
Assam Vs Delhi Elite Group B,1333217,Assam,Delhi,drawn,-,Guwahati,"Dec 20-23, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/assam-vs-delhi-elite-group-b-1333217/full-scorecard
Goa Vs Rajasthan Elite Group C,1333202,Goa,Rajasthan,drawn,-,Porvorim,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/goa-vs-rajasthan-elite-group-c-1333202/full-scorecard
Haryana Vs Himachal Pradesh Elite Group A,1333193,Haryana,Himachal,Himachal,inns & 88 runs,Rohtak,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/haryana-vs-himachal-pradesh-elite-group-a-1333193/full-scorecard
Hyderabad India Vs Tamil Nadu Elite Group B,1333199,Hyderabad,Tamil Nadu,drawn,-,Hyderabad,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/hyderabad-india-vs-tamil-nadu-elite-group-b-1333199/full-scorecard
Jammu Kashmir Vs Madhya Pradesh Elite Group D,1333206,J + K,M. Pradesh,M. Pradesh,inns & 17 runs,Jammu,"Dec 13-15, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/jammu-kashmir-vs-madhya-pradesh-elite-group-d-1333206/full-scorecard
Karnataka Vs Services Elite Group C,1333204,Karnataka,Services,drawn,-,Bengaluru,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/karnataka-vs-services-elite-group-c-1333204/full-scorecard
Maharashtra Vs Delhi Elite Group B,1333200,Maharashtra,Delhi,Maharashtra,9 wickets,Pune,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/maharashtra-vs-delhi-elite-group-b-1333200/full-scorecard
Mizoram Vs Meghalaya Plate Group,1333211,Mizoram,Meghalaya,Meghalaya,2 wickets,Nadiad,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/mizoram-vs-meghalaya-plate-group-1333211/full-scorecard
Puducherry Vs Chhattisgarh Elite Group C,1333201,Puducherry,Chhattisgarh,Chhattisgarh,132 runs,Puducherry,"Dec 13-15, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/puducherry-vs-chhattisgarh-elite-group-c-1333201/full-scorecard
Punjab Vs Chandigarh Elite Group D,1333205,Punjab,Chandigarh,drawn,-,Mullanpur,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/punjab-vs-chandigarh-elite-group-d-1333205/full-scorecard
Tripura Vs Gujarat Elite Group D,1333207,Tripura,Gujarat,drawn,-,Agartala,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/tripura-vs-gujarat-elite-group-d-1333207/full-scorecard
Vidarbha Vs Railways Elite Group D,1333208,Vidarbha,Railways,Vidarbha,194 runs,Nagpur,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/vidarbha-vs-railways-elite-group-d-1333208/full-scorecard
Andhra Vs Mumbai Elite Group B,1333197,Andhra,Mumbai,Mumbai,9 wickets,Vizianagaram,"Dec 13-15, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/andhra-vs-mumbai-elite-group-b-1333197/full-scorecard
Bengal Vs Uttar Pradesh Elite Group A,1333196,Bengal,UP,Bengal,6 wickets,Eden Gardens,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bengal-vs-uttar-pradesh-elite-group-a-1333196/full-scorecard
Bihar Vs Arunachal Pradesh Plate Group,1333209,Bihar,Arunachal,Bihar,inns & 221 runs,Patna,"Dec 13-15, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bihar-vs-arunachal-pradesh-plate-group-1333209/full-scorecard
Jharkhand Vs Kerala Elite Group C,1333203,Jharkhand,Kerala,Kerala,85 runs,Ranchi,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/jharkhand-vs-kerala-elite-group-c-1333203/full-scorecard
Odisha Vs Baroda Elite Group A,1333195,Odisha,Baroda,drawn,-,Cuttack,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/odisha-vs-baroda-elite-group-a-1333195/full-scorecard
Nagaland Vs Uttarakhand Elite Group A,1333194,Nagaland,Uttarakhand,Uttarakhand,174 runs,Sovima,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/nagaland-vs-uttarakhand-elite-group-a-1333194/full-scorecard
Assam Vs Saurashtra Elite Group B,1333198,Assam,Saurashtra,drawn,-,Guwahati,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/assam-vs-saurashtra-elite-group-b-1333198/full-scorecard
Sikkim Vs Manipur Plate Group,1333210,Sikkim,Manipur,Sikkim,8 wickets,Rangpo,"Dec 13-16, 2022",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/sikkim-vs-manipur-plate-group-1333210/full-scorecard
