Match Title,Match ID,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard Link
Bengal Vs Odisha Elite Group A,1333310,Bengal,Odisha,Odisha,7 wickets,Eden Gardens,"Jan 24-27, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/bengal-vs-odisha-elite-group-a-1333310/full-scorecard
Chandigarh Vs Railways Elite Group D,1333301,Chandigarh,Railways,drawn,-,Chandigarh,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/chandigarh-vs-railways-elite-group-d-1333301/full-scorecard
Delhi Vs Mumbai Elite Group B,1333294,Delhi,Mumbai,Delhi,8 wickets,Delhi,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/delhi-vs-mumbai-elite-group-b-1333294/full-scorecard
Haryana Vs Bengal Elite Group A,1333288,Haryana,Bengal,Bengal,inns & 50 runs,Rohtak,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/haryana-vs-bengal-elite-group-a-1333288/full-scorecard
Himachal Pradesh Vs Nagaland Elite Group A,1333289,Himachal,Nagaland,drawn,-,Nadaun,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/himachal-pradesh-vs-nagaland-elite-group-a-1333289/full-scorecard
Jammu Kashmir Vs Tripura Elite Group D,1333302,J + K,Tripura,drawn,-,Jammu,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/jammu-kashmir-vs-tripura-elite-group-d-1333302/full-scorecard
Kerala Vs Karnataka Elite Group C,1333298,Kerala,Karnataka,drawn,-,Thumba,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/kerala-vs-karnataka-elite-group-c-1333298/full-scorecard
Maharashtra Vs Hyderabad India Elite Group B,1333295,Maharashtra,Hyderabad,Maharashtra,9 wickets,Pune,"Jan 17-19, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/maharashtra-vs-hyderabad-india-elite-group-b-1333295/full-scorecard
Mizoram Vs Arunachal Pradesh 5Th Place Play Off,1333306,Mizoram,Arunachal,Mizoram,inns & 27 runs,Ahmedabad,"Jan 17-19, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/mizoram-vs-arunachal-pradesh-5th-place-play-off-1333306/full-scorecard
Puducherry Vs Jharkhand Elite Group C,1333297,Puducherry,Jharkhand,Jharkhand,10 wickets,Puducherry,"Jan 17-20, 2023",https://www.espncricinfo.com/series/ranji-trophy-2022-23-1332913/puducherry-vs-jharkhand-elite-group-c-1333297/full-scorecard
